Date,Close,Open,High,Low,Currency
2022-10-06,1716.47,1718.42,1725.49,1713.51,XAU_USD
2022-10-05,1715.81,1726.42,1728.1,1700.15,XAU_USD
2022-10-04,1726.24,1699.4,1729.73,1694.73,XAU_USD
2022-10-03,1699.22,1661.3,1701.8,1659.1,XAU_USD
2022-09-30,1659.67,1661.13,1675.57,1658.93,XAU_USD
2022-09-29,1660.29,1659.88,1665.12,1641.05,XAU_USD
2022-09-28,1659.44,1629.26,1663.17,1614.35,XAU_USD
2022-09-27,1628.8,1621.99,1642.94,1621.77,XAU_USD
2022-09-26,1621.57,1645.4,1650.02,1620.8,XAU_USD
2022-09-23,1643.09,1671.55,1676.59,1639.59,XAU_USD
2022-09-22,1670.53,1675.06,1685.49,1655.53,XAU_USD
2022-09-21,1673.74,1663.67,1688.15,1654.15,XAU_USD
2022-09-20,1663.11,1675.47,1679.34,1659.6,XAU_USD
2022-09-19,1675.78,1675.44,1680.16,1659.67,XAU_USD
2022-09-16,1674.94,1664.27,1680.69,1653.85,XAU_USD
2022-09-15,1663.74,1696.06,1698.62,1660.04,XAU_USD
2022-09-14,1695.8,1701.86,1707.49,1693.26,XAU_USD
2022-09-13,1701.55,1724.75,1732.34,1696.7,XAU_USD
2022-09-12,1724.07,1717.05,1735.37,1711.97,XAU_USD
2022-09-09,1716.05,1708.84,1729.94,1708.22,XAU_USD
2022-09-08,1707.28,1718.4,1728.8,1703.5,XAU_USD
2022-09-07,1717.69,1701.61,1719.82,1690.9,XAU_USD
2022-09-06,1701.15,1710.56,1727.24,1699.3,XAU_USD
2022-09-05,1710.21,1712.99,1716.34,1707.47,XAU_USD
2022-09-02,1711.44,1696.35,1718.31,1694.64,XAU_USD
2022-09-01,1696.09,1711.09,1711.81,1688.35,XAU_USD
2022-08-31,1710.7,1723.83,1726.86,1709.1,XAU_USD
2022-08-30,1723.55,1738.36,1740.93,1720.85,XAU_USD
2022-08-29,1737.82,1736.19,1745.63,1720.08,XAU_USD
2022-08-26,1736.86,1758.55,1759.31,1733.83,XAU_USD
2022-08-25,1758.44,1751.55,1765.93,1749.71,XAU_USD
2022-08-24,1750.89,1748.55,1755.88,1742.29,XAU_USD
2022-08-23,1747.67,1736.4,1754.28,1730.52,XAU_USD
2022-08-22,1735.7,1747.05,1749.31,1727.51,XAU_USD
2022-08-19,1747.83,1759.3,1759.88,1745.19,XAU_USD
2022-08-18,1758.2,1761.63,1772.59,1755.37,XAU_USD
2022-08-17,1761.05,1775.98,1782.63,1759.58,XAU_USD
2022-08-16,1775.54,1779.74,1783.37,1771.33,XAU_USD
2022-08-15,1779.36,1802.05,1802.53,1772.75,XAU_USD
2022-08-12,1801.76,1790.06,1802.86,1784.52,XAU_USD
2022-08-11,1789.45,1792.39,1799.4,1783.24,XAU_USD
2022-08-10,1792.13,1794.21,1807.9,1787.32,XAU_USD
2022-08-09,1794.08,1789.21,1800.45,1782.85,XAU_USD
2022-08-08,1788.52,1773.57,1790.26,1770.94,XAU_USD
2022-08-05,1774.15,1791.16,1795.29,1764.88,XAU_USD
2022-08-04,1790.97,1765.34,1795.29,1763.0,XAU_USD
2022-08-03,1764.9,1760.53,1772.9,1754.33,XAU_USD
2022-08-02,1759.75,1772.23,1788.24,1759.86,XAU_USD
2022-08-01,1771.73,1765.05,1775.22,1758.05,XAU_USD
2022-07-29,1765.22,1755.81,1768.17,1752.19,XAU_USD
2022-07-28,1755.11,1734.61,1757.43,1733.59,XAU_USD
2022-07-27,1733.89,1717.41,1740.6,1711.46,XAU_USD
2022-07-26,1717.0,1719.69,1728.36,1713.2,XAU_USD
2022-07-25,1718.78,1728.15,1736.43,1714.57,XAU_USD
2022-07-22,1726.46,1718.61,1739.28,1712.93,XAU_USD
2022-07-21,1718.49,1696.73,1720.69,1680.78,XAU_USD
2022-07-20,1696.43,1711.3,1714.94,1692.53,XAU_USD
2022-07-19,1711.07,1709.27,1718.64,1704.96,XAU_USD
2022-07-18,1709.01,1707.94,1724.05,1705.89,XAU_USD
2022-07-15,1706.78,1709.81,1716.92,1698.82,XAU_USD
2022-07-14,1709.45,1735.7,1736.94,1697.48,XAU_USD
2022-07-13,1735.23,1726.17,1745.54,1707.38,XAU_USD
2022-07-12,1725.81,1733.99,1743.49,1722.93,XAU_USD
2022-07-11,1733.67,1742.86,1744.92,1731.01,XAU_USD
